Store,DayOfWeek,Date,month,year,Open,Promo,StateHoliday,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2
1,4,9/17/2015,9,2015,1.0,1,0,0,1270.0,9,2008,0
1,3,9/16/2015,9,2015,1.0,1,0,0,1270.0,9,2008,0
1,2,9/15/2015,9,2015,1.0,1,0,0,1270.0,9,2008,0
1,1,9/14/2015,9,2015,1.0,1,0,0,1270.0,9,2008,0
1,7,9/13/2015,9,2015,0.0,0,0,0,1270.0,9,2008,0
1,6,9/12/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,5,9/11/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,4,9/10/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,3,9/9/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,2,9/8/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,1,9/7/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,7,9/6/2015,9,2015,0.0,0,0,0,1270.0,9,2008,0
1,6,9/5/2015,9,2015,1.0,0,0,0,1270.0,9,2008,0
1,5,9/4/2015,9,2015,1.0,1,0,1,1270.0,9,2008,0
1,4,9/3/2015,9,2015,1.0,1,0,1,1270.0,9,2008,0
1,3,9/2/2015,9,2015,1.0,1,0,1,1270.0,9,2008,0
1,2,9/1/2015,9,2015,1.0,1,0,1,1270.0,9,2008,0
1,1,8/31/2015,8,2015,1.0,1,0,1,1270.0,9,2008,0
1,7,8/30/2015,8,2015,0.0,0,0,1,1270.0,9,2008,0
1,6,8/29/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,5,8/28/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,4,8/27/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,3,8/26/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,2,8/25/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,1,8/24/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,7,8/23/2015,8,2015,0.0,0,0,1,1270.0,9,2008,0
1,6,8/22/2015,8,2015,1.0,0,0,1,1270.0,9,2008,0
1,5,8/21/2015,8,2015,1.0,1,0,1,1270.0,9,2008,0
1,4,8/20/2015,8,2015,1.0,1,0,1,1270.0,9,2008,0
